"LOCATION","Country","VAR","Variable ","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"KOR","Korea","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,1.938,,
"KOR","Korea","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,2.791,,
"KOR","Korea","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,4.023,,
"KOR","Korea","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,5.312,,
"KOR","Korea","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,6.486,,
"KOR","Korea","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,8.612,,
"KOR","Korea","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,11.048,,
"KOR","Korea","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,12.954,,
"KOR","Korea","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,15.104,,
"LUX","Luxembourg","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2013","2013",,,"0","Units",,,0.861,,
"LUX","Luxembourg","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,1.29,,
"LUX","Luxembourg","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,2.137,,
"LUX","Luxembourg","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,2.998,,
"LUX","Luxembourg","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,3.775,,
"LUX","Luxembourg","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,3.993,,
"LUX","Luxembourg","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,5.104,,
"LUX","Luxembourg","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,6.781,,
"LUX","Luxembourg","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,8.47,,
"LUX","Luxembourg","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,10.465,,
"MEX","Mexico","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,0.399,,
"MEX","Mexico","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,0.777,,
"MEX","Mexico","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,1.325,,
"MEX","Mexico","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,2.108,,
"MEX","Mexico","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,3.643,,
"MEX","Mexico","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2020","2020",,,"0","Units",,,4.534,,
"MEX","Mexico","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2021","2021",,,"0","Units",,,5.112,,
"MEX","Mexico","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2022","2022",,,"0","Units",,,4.299,,
"NLD","Netherlands","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2012","2012",,,"0","Units",,,0.203,,
"NLD","Netherlands","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2013","2013",,,"0","Units",,,0.275,,
"NLD","Netherlands","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2014","2014",,,"0","Units",,,0.48,,
"NLD","Netherlands","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2015","2015",,,"0","Units",,,0.782,,
"NLD","Netherlands","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2016","2016",,,"0","Units",,,1.126,,
"NLD","Netherlands","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2017","2017",,,"0","Units",,,1.829,,
"NLD","Netherlands","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2018","2018",,,"0","Units",,,2.581,,
"NLD","Netherlands","BB-DATA-GB","Mobile data usage per mobile broadband subscription, GB per month","2019","2019",,,"0","Units",,,3.185,,
